Record ID,Condition Name,Created By ID,Created Date,Currency ISO Code,Deleted,Enable Smart Approval,Filter Field,Filter Type,Filter Value,Index,Last Modified By ID,Last Modified Date,Operator,System Modstamp,Tested Field,sbaa__ApprovalRule__r.Rule Name,sbaa__FilterVariable__r.Variable Name,sbaa__TestedVariable__r.Variable Name
"a260J00000032fYQAQ","AC-000073","0050J000006WjRgQAK","01/31/2017T12:34:41.000Z","USD","false","false","","Value","0","","0050J000006WjRgQAK","01/31/2017T12:34:41.000Z","greater than","02/01/2017T02:34:34.000Z","Lines_Requiring_Regional_VP_Approval__c","RVP","",""
"a260J00000032fsQAA","AC-000077","0050J000006WjRgQAK","01/31/2017T12:37:11.000Z","USD","false","false","","Value","20000","","0050J000006WjRgQAK","01/31/2017T12:37:11.000Z","greater or equals","02/01/2017T02:34:34.000Z","SBQQ__NetAmount__c","FLM","",""
"a260J00000032fTQAQ","AC-000072","0050J000006WjRgQAK","01/31/2017T12:34:03.000Z","USD","false","true","","Value","0","","0050J000006WjRgQAK","01/31/2017T12:34:03.000Z","greater than","02/01/2017T02:34:34.000Z","Lines_Requiring_Regional_VP_Approval__c","RVP","",""
"a260J00000032hPQAQ","AC-000090","0050J000006WjRgQAK","01/31/2017T15:42:28.000Z","USD","false","false","","Value","0","1.0","0050J000006WjRgQAK","01/31/2017T15:42:37.000Z","greater than","02/01/2017T02:34:34.000Z","Lines_Requiring_CFO_Approval__c","CFO","",""
"a260J00000032hQQAQ","AC-000091","0050J000006WjRgQAK","01/31/2017T15:42:28.000Z","USD","false","false","","Value","TRUE","1.0","0050J000006WjRgQAK","01/31/2017T15:42:28.000Z","equals","02/01/2017T02:34:34.000Z","Above_20000_USD__c","CFO","",""
"a260J00000032fOQAQ","AC-000071","0050J000006WjRgQAK","01/31/2017T12:33:28.000Z","USD","false","true","","Value","0","","0050J000006WjRgQAK","01/31/2017T12:33:28.000Z","greater than","02/01/2017T02:34:34.000Z","Lines_Requiring_line_Manager_Approval__c","FLM","",""
"a260J00000032fxQAA","AC-000078","0050J000006WjRgQAK","01/31/2017T12:37:41.000Z","USD","false","false","","Value","20000","","0050J000006WjRgQAK","01/31/2017T12:37:41.000Z","greater or equals","02/01/2017T02:34:34.000Z","SBQQ__NetAmount__c","RVP","",""
"a260J00000032hKQAQ","AC-000088","0050J000006WjRgQAK","01/31/2017T15:41:42.000Z","USD","false","false","","Value","0","1.0","0050J000006WjRgQAK","01/31/2017T15:41:50.000Z","greater than","02/14/2017T02:34:09.000Z","Lines_Requiring_CRO_Approval__c","CRO","",""
"a260J00000032hLQAQ","AC-000089","0050J000006WjRgQAK","01/31/2017T15:41:42.000Z","USD","false","false","","Value","TRUE","1.0","0050J000006WjRgQAK","01/31/2017T15:41:42.000Z","equals","01/31/2017T15:41:42.000Z","Above_20000_USD__c","CRO","",""
"a260J00000032glQAA","AC-000081","0050J000006WjRgQAK","01/31/2017T15:23:41.000Z","USD","false","false","","Value","FALSE","2.0","0050J000006WjRgQAK","01/31/2017T15:40:09.000Z","equals","02/01/2017T02:34:34.000Z","Above_20000_USD__c","FLM","",""
"a2620000002GedyAAC","AC-000002","00520000002CI2kAAG","11/01/2016T17:21:13.000Z","USD","false","true","","Value","0","","00520000002CI2kAAG","11/01/2016T17:22:42.000Z","greater than","01/31/2017T02:33:04.000Z","Lines_Requiring_CFO_Approval__c","CFO","",""
"a260J00000032fnQAA","AC-000076","0050J000006WjRgQAK","01/31/2017T12:36:51.000Z","USD","false","false","","Value","20000","","0050J000006WjRgQAK","01/31/2017T12:36:51.000Z","less than","02/01/2017T02:34:34.000Z","SBQQ__NetAmount__c","FLM","",""
"a260J00000032gqQAA","AC-000082","0050J000006WjRgQAK","01/31/2017T15:26:40.000Z","USD","false","false","","Value","0","3.0","0050J000006WjRgQAK","01/31/2017T15:26:40.000Z","greater than","02/01/2017T02:34:34.000Z","Lines_Requiring_Regional_VP_Approval__c","RVP","",""
"a260J00000032gvQAA","AC-000083","0050J000006WjRgQAK","01/31/2017T15:27:03.000Z","USD","false","false","","Value","FALSE","4.0","0050J000006WjRgQAK","01/31/2017T15:40:17.000Z","equals","02/14/2017T02:34:09.000Z","Above_20000_USD__c","RVP","",""
"a260J00000032fJQAQ","AC-000070","0050J000006WjRgQAK","01/31/2017T12:32:56.000Z","USD","false","true","","Value","0","","0050J000006WjRgQAK","01/31/2017T12:32:56.000Z","greater than","02/01/2017T02:34:34.000Z","Lines_Requiring_line_Manager_Approval__c","FLM","",""
"a260J00000033iXQAQ","AC-000206","0050J000006WrgFQAS","02/24/2017T14:31:28.000Z","USD","false","true","","Value","TRUE","","0050J000006WrgFQAS","02/24/2017T14:31:28.000Z","equals","02/25/2017T02:33:36.000Z","Approvals_Required__c","SVP","",""
"a260J00000032cXQAQ","AC-000069","0050J000006WjRgQAK","01/30/2017T10:16:56.000Z","USD","false","true","","Value","20000","","0050J000006WjRgQAK","01/31/2017T13:11:13.000Z","greater or equals","02/01/2017T02:34:34.000Z","SBQQ__NetAmount__c","CRO","",""
"a260J00000032cSQAQ","AC-000068","0050J000006WjRgQAK","01/30/2017T10:16:45.000Z","USD","false","true","","Value","20000","","0050J000006WjRgQAK","01/30/2017T10:16:45.000Z","less than","01/31/2017T02:33:04.000Z","SBQQ__NetAmount__c","CFO","",""
"a260J00000032g2QAA","AC-000079","0050J000006WjRgQAK","01/31/2017T12:38:19.000Z","USD","false","false","","Value","20000","","0050J000006WjRgQAK","01/31/2017T12:38:19.000Z","less than","02/01/2017T02:34:34.000Z","SBQQ__NetAmount__c","RVP","",""
"a2620000002Gee8AAC","AC-000004","00520000002CI2kAAG","11/01/2016T17:39:22.000Z","USD","false","true","","Value","Yes","","00520000002CI2kAAG","11/02/2016T23:09:57.000Z","equals","02/04/2017T02:33:30.000Z","Allow_Seat_Reduction__c","RVP","",""
"a260J000000331TQAQ","AC-000144","0050J000006WjRgQAK","02/13/2017T14:46:35.000Z","USD","false","true","","Value","0","","0050J000006WjRgQAK","02/13/2017T14:46:35.000Z","greater than","02/13/2017T14:46:35.000Z","Lines_Requiring_line_Manager_Approval__c","FLM Blank","",""
"a260J000000331UQAQ","AC-000145","0050J000006WjRgQAK","02/13/2017T14:46:35.000Z","USD","false","false","","Value","","","0050J000006WjRgQAK","02/13/2017T14:46:40.000Z","equals","02/14/2017T02:34:09.000Z","Manager_FLM__c","FLM Blank","",""
